Group,POE10,POE12,POE11,POE13,POE14,POE15,POE16,POE17,POE18,POE19,POE20,POE21,POE22,POE23,POE24,POE25,POE26,POE27,POE28,POE29,POE30,POE12.ISOSORBITAN,POE13.ISOSORBITAN,POE14.ISOSORBITAN,POE15.ISOSORBITAN,POE16.ISOSORBITAN,POE17.ISOSORBITAN,POE18.ISOSORBITAN,POE19.ISOSORBITAN,POE20.ISOSORBITAN,POE21.ISOSORBITAN,POE22.ISOSORBITAN,POE18.SORBITAN,POE19.SORBITAN,POE20.SORBITAN,POE21.SORBITAN,POE22.SORBITAN,POE23.SORBITAN,POE24.SORBITAN,POE25.SORBITAN,POE26.SORBITAN,POE27.SORBITAN,POE28.SORBITAN,POE29.SORBITAN,POE30.SORBITAN,POE31.SORBITAN,POE32.SORBITAN,POE33.SORBITAN,POE34.SORBITAN,POE35.SORBITAN,POE36.SORBITAN,POE13.C16,POE14.C16,POE15.C16,POE16.C16,POE17.C16,POE18.C16,POE19.C16,POE20.C16,POE21.C16,POE22.C16,POE23.C16,POE24.C16,POE25.C16,POE26.C16,POE27.C16,POE28.C16,POE29.C16,POE30.C16,POE31.C16,POE32.C16,POE33.C16,POE34.C16,POE35.C16,POE36.C16,POE38.C16,POE37.C16,POE39.C16,POE14.C18,POE15.C18,POE16.C18,POE17.C18,POE18.C18,POE19.C18,POE20.C18,POE21.C18,POE22.C18,POE23.C18,POE24.C18,POE25.C18,POE26.C18,POE27.C18,POE28.C18,POE29.C18,POE30.C18,POE31.C18,POE32.C18,POE33.C18,POE34.C18,,,,,
0,4416502,16121938,9374317,21635286,19725376,16053208.5,11617477.38,8028245.75,2100807.25,1681030.5,1003909.188,653960.875,421992.719,299918.938,228909.641,192500.781,169149.359,113554.406,78114.891,40537.203,34890.055,30347.949,64626.477,73052.227,102328.008,102966.93,91144.281,63179.965,53297.91,32276.578,19857.092,13657.962,34209.34,50993.516,110994.836,236642.063,433025.125,619921.688,793007.938,920121.875,991198.75,896958.813,756497.875,543728.625,459471.594,348065.531,243832.047,161890.688,117936.695,75372.063,54031.633,0,0,8830.92,7784.152,13484.775,7232.849,19599.924,28128.82,27250,31556.596,28398.791,23571.906,16073.095,10290.003,7154.611,0,0,0,0,0,0,0,0,0,0,0,0,0,13556.913,30664.971,40960.555,45607.621,55536.469,61986.43,73592.031,61757.273,54283.848,49887.762,36648.277,24444.221,16429.26,9966.138,0,0,0,0,0,0,,,,,
0,5911778,5741947,6249358,4746461.5,2984565.25,2136572.516,1508576.797,1058560.063,284317.188,262735.063,173687.297,124285.633,98885.531,62854.008,51871.883,50234.949,44009.871,29709.656,27374.404,0,15657.417,146133.719,317212.219,337881.031,463011.406,453790.625,408299.188,283260.156,283211.406,171502.703,114202.375,71666.102,212857.094,460974.938,797125.313,1755041.375,3052994.25,4310605,5252556,6105280.5,6255426.5,5782386,4935769,3659896.25,2866753.25,2162482,1652589.375,1114940.5,810201.25,501309.625,355909.625,0,6017.357,14944.412,19693.928,28313.787,31139.086,43347.262,52563.816,57493.863,57236.176,52026.063,45836.965,38911.563,30775.9,20432.291,15928.179,0,0,0,0,0,0,0,0,0,0,0,17221.086,58545.289,65307.109,80932.07,88017.414,92267.453,102774,105225.742,98128.758,80861.336,70939.891,55841.02,38801.055,32390.051,0,10951.258,7699.778,0,0,0,0,,,,,
0,839485.688,1097768.25,931636.75,1132392.25,857994.063,644588.391,417473,267606.196,67807.391,54146.199,33802.063,21953.74,16670.707,8866.814,11703.168,12210.567,11037.679,12664.834,8316.754,8170.498,0,0,9322.729,0,10198.273,9320.607,7020.12,0,0,0,0,0,0,0,15971.188,18051.17,59935.648,48542.723,86678.234,81137.156,84780.859,63835.434,52383.965,35131.605,24687.48,16235.543,11608.813,0,0,0,0,0,3636.331,7641.925,15724.52,35143.711,35013.871,51597.789,77738.703,85270.867,89734.367,89850.414,81211.633,62809.137,46912.449,37076.43,26764.766,0,0,0,0,0,0,0,0,2326.81,0,0,26409.361,82845.047,115441.344,141593.25,177179.875,186556.641,212601.188,265887.219,250921.859,221725.766,204374.438,164099.141,119102.414,94117.984,56136.828,39267.754,30380.402,25451,19135.217,14436.636,10505.348,,,,,
1,5723128,7304345,6992683.5,6850588,4873159,3937653.938,2784435.75,1798898.906,515941.813,431098.625,219161.219,180521.297,107158.219,86869.688,54330.66,58017.363,45015.371,21889.389,36932.684,0,20787.666,280455.844,524502.375,585735.625,731434.688,664211.25,567942.25,386659.25,278984.531,174152.406,110981.844,67662.156,262437.344,509916.094,853962.625,1936898.5,3244184.25,4770523.5,5690499,6057447.5,6433095.5,5186512.5,4206195,2995477,2218009.75,1534953.125,1134655.25,725109.813,436692.625,239482.891,150406.641,0,4853.88,13022.406,14089.703,16119.441,19017.83,22776.67,24056.74,21832.461,21784.701,23004.281,20105.248,18223.91,12709.469,11438.276,7866.11,0,0,0,0,0,0,0,0,0,0,0,17603.111,46914.59,54378.281,55307.703,54941.563,60759.168,61382.219,55128.422,67224.383,47239.805,45233.895,37814.676,29578.875,20136.947,14999.985,9545.363,0,0,0,0,0,,,,,
0,93136000,93137232,98264384,81884584,52083896,32578520.25,20082680.75,12041040.75,2812136,2204734.5,1392928.75,873989.375,559876.438,390295.813,328280.406,300733.344,302665.813,259418.5,224365.547,152801.234,150398.359,8695.878,18356.023,24799.887,32294.381,31137.5,26356.24,20961.791,14109.599,10013.286,0,0,11824.857,0,32592.854,30703.973,133874.078,192648.344,252076.094,287930.75,327110.781,278980.938,262306.688,191312.156,153755.875,113003.18,84689.859,55323.695,40862.051,23431.943,16214.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
0,323018.688,815809.125,547959.438,1011826.375,810794.813,634952.305,485037.703,324222.101,82419.891,69137.547,46507.414,28173.133,21353.461,15419.478,13053.595,10694.444,11003.497,7081.197,8055.892,0,7111.645,7877.076,13946.217,18178.764,15968.679,12703.019,10199.489,0,0,0,0,0,29893.557,45788.496,67855.055,135381.313,205228.594,270862.094,269587,281303.813,234878.375,174139.563,128784.242,75098.57,52635.262,29618.375,15606.893,9280.869,0,0,0,0,4024.47,11938.507,14776.338,25672.348,34830.184,48294.863,58850.477,61415.945,69247.109,68361.18,59135.512,42424.406,30265.85,22400.559,0,0,0,0,0,0,0,0,0,0,0,0,11859.754,37148.848,53286.48,27019.637,92664.969,103892.391,116207.25,134734.578,133854.109,103484.188,89302.109,76822.148,54945.387,39272.535,22776.002,16402.941,10762.441,0,0,0,0,,,,,
0,29264992,57609028,45688916,59373784,46729160,34715536.5,23943683,15080304.5,3568951,2636940.5,1429355.25,822474.813,470173.75,267522.594,167285.703,105657.305,86132.992,62501.039,45526.566,25718.666,17886.271,0,9835.15,11183.352,14410.721,11970.014,9885.437,0,0,0,0,0,0,0,13278.214,9028.65,45215.625,24274.252,72036.758,63142.492,74700.594,59622.832,57406.992,32019.879,32877.828,29291.982,20776.121,15660.888,10291.28,8946.846,0,0,4298.165,11988.419,12752.972,15623.725,17186.961,22403.461,25065.111,25817.996,32569.508,28592.889,26261.322,20178.82,17731.889,19131.592,9348.81,12351.881,0,0,0,0,0,0,0,0,0,0,45184.633,121342.023,153766.156,160438.766,182048.516,203664.594,214515.141,204800.844,207835.906,186231.063,156979.578,136255.422,107094.906,82821.313,60488.684,42388.195,27119.438,21546.83,14608.478,9707.339,0,,,,,.
0,10857640,14776279,13682222,13038858,8575968,6121781.063,4232268.688,2923308.188,762358,666214.938,436354.656,298717.156,197253.469,140059.156,103585,105149.93,122340.117,112489.68,112442.266,51497.816,121370.484,354780.594,775370.375,1105300.5,1492906.5,1478074.875,1380677.75,864714.5,864557.25,517677.188,316864.344,216109.906,242067.797,472764.219,856365.188,2319589.25,4409622,6839961,9441623,12222704,13640802,13339667,11938472,8945554,7351485.5,5422676.5,4131594,2899537.25,2044365.25,1350895.5,989388.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
1,334541.313,283283.375,304657.313,222549.5,151021.531,110859.763,85475.326,63625.57,18470.381,21421.977,20568.988,19450.885,16162.571,15503.551,15559.922,15328.393,16096.054,14743.508,14498.146,11035.954,12358.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8988.344,21373.215,21009.232,24189.928,24003.035,23592.477,17761.709,13656.904,7853.908,0,0,0,0,0,0,0,0,2890.872,8449.003,13264.6,19692.867,20276.889,28420.504,44261.789,46529.813,51945.59,55151.98,48527.879,39163.742,30866.078,23345.219,16962.664,11288.251,8079.781,0,0,0,0,0,0,0,0,0,8839.19,31245.049,44315.18,57377.406,74329.102,79003.688,91884.211,109794.617,117179.133,96498.055,85643.789,77183.336,56323.824,44086.613,29372.742,19788.236,14858.155,0,7188.68,0,0,,,,,
0,3264111.5,2169884.75,2855741.25,1199379.25,552333.75,258179.988,140127.256,84674.151,29338.846,20751.211,14257.413,8367.664,0,0,7508.805,9161.52,8393.472,12658.639,10771.037,11856.155,9534.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7782.357,0,13239.192,0,17163.441,8438.54,10839.842,8512.47,0,0,0,0,0,0,0,0,12048.207,27717.684,48548.539,64296.109,82424.031,111458.609,145060.109,177604.125,170003.313,167425.75,176372.563,141502.859,120094.125,94699.383,76935.234,55362.344,40882.273,35063.906,23213.555,17092.467,10477.168,0,0,0,0,0,27535.762,71892.406,107184.75,149063.609,187396.656,214824.156,237776.969,251715.438,285759.125,265427,247207.453,228522.297,185935.391,152650.297,101376.477,89899.016,59822.734,44710.973,31519.598,20256.127,15502.549,,,,,
