sampleID,Group,POE10,POE12,POE11,POE13,POE14,POE15,POE16,POE17,POE18,POE19,POE20,POE21,POE22,POE23,POE24,POE25,POE26,POE27,POE28,POE29,POE30,POE12.ISOSORBITAN,POE13.ISOSORBITAN,POE14.ISOSORBITAN,POE15.ISOSORBITAN,POE16.ISOSORBITAN,POE17.ISOSORBITAN,POE18.ISOSORBITAN,POE19.ISOSORBITAN,POE20.ISOSORBITAN,POE21.ISOSORBITAN,POE22.ISOSORBITAN,POE18.SORBITAN,POE19.SORBITAN,POE20.SORBITAN,POE21.SORBITAN,POE22.SORBITAN,POE23.SORBITAN,POE24.SORBITAN,POE25.SORBITAN,POE26.SORBITAN,POE27.SORBITAN,POE28.SORBITAN,POE29.SORBITAN,POE30.SORBITAN,POE31.SORBITAN,POE32.SORBITAN,POE33.SORBITAN,POE34.SORBITAN,POE35.SORBITAN,POE36.SORBITAN,POE13.C16,POE14.C16,POE15.C16,POE16.C16,POE17.C16,POE18.C16,POE19.C16,POE20.C16,POE21.C16,POE22.C16,POE23.C16,POE24.C16,POE25.C16,POE26.C16,POE27.C16,POE28.C16,POE29.C16,POE30.C16,POE31.C16,POE32.C16,POE33.C16,POE34.C16,POE35.C16,POE36.C16,POE38.C16,POE37.C16,POE39.C16,POE14.C18,POE15.C18,POE16.C18,POE17.C18,POE18.C18,POE19.C18,POE20.C18,POE21.C18,POE22.C18,POE23.C18,POE24.C18,POE25.C18,POE26.C18,POE27.C18,POE28.C18,POE29.C18,POE30.C18,POE31.C18,POE32.C18,POE33.C18,POE34.C18,cdai,Sac_S,Suc_S,Asp_S
HK1001,0,2705830.0,2055084.875,2564990.75,1319082.75,635304.938,324749.328,184841.843,122513.914,36804.488,56368.363,35922.859,38691.68,42187.328,31335.777,40764.09,41659.766,45859.516,39908.445,35173.051,27757.293,24146.363,8416.841,14838.198,17679.223,19107.863,14429.103,13469.402,7643.019,7315.594,0.0,0.0,0.0,21954.59,30105.982,38349.5,69000.031,109628.422,131431.141,119774.836,115805.125,92989.797,70371.023,48996.871,31898.572,19523.902,12480.029,8657.904,0.0,0.0,0.0,0.0,2636.277,15409.608,39200.305,51013.07,64017.973,73177.219,81080.586,89656.984,94657.578,94325.305,86175.578,70981.953,56169.434,47246.625,30860.338,18827.859,14553.92,9207.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27371.297,75218.578,103659.766,136442.469,141366.531,148501.625,170287.031,174045.797,162811.063,151330.297,134944.547,110708.492,87848.438,66254.633,37583.695,27193.373,18861.783,0.0,0.0,0.0,0.0,50.51604691,0.0,146.564,0.12
HK1002,0,297526.563,512761.813,398887.563,558841.375,474769.281,404956.625,292410.203,231190.328,74821.594,89895.352,64944.621,44378.078,26033.779,14688.391,13997.796,9013.889,7432.86,0.0,0.0,0.0,0.0,23682.367,47120.746,56570.191,84264.406,73670.82,69336.32,73712.672,63073.336,39071.688,26886.555,15261.313,44650.617,77301.711,101034.547,185862.734,300936.0,373258.406,461731.469,477877.219,481520.781,398721.031,347612.813,226324.875,173571.563,124757.398,89642.836,53942.988,40859.344,27505.412,15505.116,2607.947,18093.043,39367.457,60483.957,69815.594,74469.664,83356.414,96300.484,99764.313,87154.109,81974.914,69934.445,61061.668,50196.566,27702.969,18765.699,12440.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56329.836,139167.063,202267.844,221056.109,258853.984,243179.688,258439.031,261598.328,232488.719,209630.188,185085.156,147051.734,107870.875,71412.234,40660.832,26356.922,15863.238,10289.568,0.0,0.0,0.0,37.4,21.914,51.398,4.487
HK1003,1,2657969.25,3088170.75,3236454.5,2222483.5,985213.625,674542.109,357338.828,199430.547,39585.758,34956.324,27892.25,15911.961,13039.844,10218.787,9950.666,11185.632,7612.186,0.0,0.0,0.0,0.0,21262.91,42236.227,44696.25,46581.656,49492.949,38220.734,19678.373,20687.492,9702.626,8525.537,0.0,97175.414,191218.063,276398.594,506393.625,792297.313,935413.938,1041021.125,1045524.313,817013.313,652476.375,467185.938,281883.094,186171.313,105655.023,71791.164,38553.52,23971.287,11624.21,8070.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9998.113,9780.895,15404.721,15682.14,19040.617,18168.52,15507.167,12388.332,11487.403,9615.901,7263.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.6,22.684,81.291,0.0
HK1004,0,2188666.0,2137031.5,2276443.75,1672448.625,1062501.0,704969.196,446010.454,296945.172,71849.195,73748.563,62731.891,40319.41,24448.129,17994.768,10273.937,11728.186,7012.876,0.0,0.0,0.0,0.0,46395.555,76336.492,102236.703,135209.344,139657.266,128093.813,102575.297,87753.82,51804.371,33648.969,20799.893,53163.512,100589.992,155182.094,345070.375,614039.813,910575.688,1092080.0,1257796.75,1329178.375,1085081.375,1014210.0,750792.125,529413.813,401888.563,292018.281,196445.328,126606.141,85627.914,56342.27,0.0,3045.385,0.0,8123.464,8249.139,11885.117,15473.215,16441.793,20950.252,23044.906,26085.318,19686.57,16196.176,10183.358,8728.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13819.935,33172.477,44917.164,54825.262,56162.949,60389.969,69105.594,61895.926,58502.297,53170.582,46791.703,38199.477,25989.871,19919.055,11766.003,0.0,0.0,0.0,0.0,0.0,0.0,70.71067754,20.394,1864.711,0.0
HK1005,0,270787.5,431045.625,372324.5,470804.969,369674.75,271698.012,215659.808,150408.617,56416.699,59842.539,59283.191,57570.055,63620.063,56966.469,73142.305,74027.109,76930.438,60119.996,50365.617,17204.803,17832.699,24272.15,45147.734,55031.684,71363.031,65564.063,44822.57,35262.461,32200.979,22093.074,13940.413,0.0,94864.828,177770.328,237917.609,428767.281,702187.688,885244.063,961089.313,1044949.0,930461.688,794531.563,590871.938,395935.313,266781.781,184525.422,140877.563,87131.133,56295.363,37458.875,23118.348,0.0,3063.599,8270.46,9690.507,13979.945,13535.983,17150.594,21617.807,20025.104,21701.766,23638.799,13471.507,14825.568,13375.627,8049.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9537.431,34970.188,42107.629,43562.758,46535.93,52622.949,57090.777,56523.41,49666.844,44951.754,40397.59,35719.824,21549.654,14813.443,10511.609,0.0,0.0,0.0,0.0,0.0,0.0,80.01136114,2.297,185.356,0.101
HK1006,0,4170570.5,3385441.25,3983784.75,2824199.0,1957985.75,1368040.297,1030206.438,735725.813,235978.672,251856.203,214081.656,194824.438,182496.797,165890.344,167748.984,176916.219,185320.313,164023.078,152038.563,110201.734,103335.656,80041.141,158386.656,195962.859,247301.531,355453.438,263986.719,219386.781,154553.109,114334.469,61991.621,50685.469,119331.656,270548.969,408005.563,815651.625,1406626.5,2215711.5,2634492.0,3047141.5,2892151.0,2452078.5,1925983.0,1387613.5,1019467.938,688618.75,557449.375,375956.219,241194.328,136560.219,79664.578,8752.198,65223.09,168939.672,215003.328,243827.703,295293.375,363661.156,420344.844,434039.688,436611.0,416534.656,354640.188,281403.063,210004.469,149277.797,101243.82,63050.914,41283.5,26821.945,15120.189,11114.604,0.0,0.0,0.0,0.0,0.0,0.0,291681.938,738282.125,962433.75,1062363.875,1240544.125,1182983.25,1301079.0,1233523.25,1156051.375,962806.813,815236.438,650529.125,480779.656,336956.688,199466.078,121131.563,79462.883,63331.953,27794.998,12452.557,10397.951,111.5367521,27.498,34.059,0.111
HK1007,1,400328.719,505028.5,436836.625,618269.563,644617.563,774869.985,952333.953,1242354.251,678836.063,1117996.5,1383063.375,2052080.125,2596152.5,2684655.0,2845688.75,2618800.75,2295224.0,1727146.625,1092106.5,908622.688,632581.875,0.0,0.0,7595.569,0.0,0.0,9422.495,0.0,0.0,0.0,0.0,0.0,17562.098,22104.891,32821.977,60355.875,116633.906,121262.711,151792.391,166211.094,125852.828,88450.633,68263.492,36814.512,22953.605,13920.156,9168.223,0.0,0.0,0.0,0.0,0.0,1778.004,0.0,7813.289,8234.12,10383.061,12944.728,18414.324,20974.889,19599.443,19657.254,16665.471,15337.273,9858.582,7805.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7101.987,15765.318,26299.631,32589.273,35041.434,32328.586,40258.422,40567.992,43278.457,34574.84,32680.33,29637.354,18653.549,13071.118,7440.678,0.0,0.0,0.0,0.0,0.0,0.0,259.0,63.43,433.386,0.0
HK1008,0,3528481.25,12986434.0,5948083.0,15313608.0,11047611.0,11152267.56,6609332.875,5659753.625,1399298.75,1121521.75,766339.375,369605.031,303750.688,223094.188,170857.0,132084.969,86231.984,69131.125,49060.473,25668.047,15115.999,30178.621,66768.555,85740.641,95103.75,66702.641,87494.227,53396.281,67619.938,29115.959,25960.555,12155.215,46375.652,96636.273,154510.609,342416.813,577799.625,788167.125,985831.375,1087430.875,1131869.625,960638.75,817589.5,614379.125,464709.719,352439.719,256360.984,172109.516,131737.516,86580.898,55605.336,0.0,2071.376,0.0,0.0,8671.975,9907.673,12403.154,17614.297,16786.838,20566.246,18568.322,16510.662,15003.069,10551.644,10566.029,8188.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10680.859,12073.534,18278.385,19103.994,25292.764,22123.891,26839.166,26235.133,21313.623,20388.313,16825.453,14881.088,8960.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.38219069,6.43,284.872,0.722
HK1009,0,465377.406,928119.75,619083.438,1160040.75,1061248.375,934010.532,768810.735,603154.266,203616.813,196552.906,152105.594,119879.5,102819.734,77182.32,118315.297,150080.266,235209.016,257693.656,339482.938,348044.563,375206.406,71301.781,143524.078,206528.844,250525.344,319939.156,232012.063,192026.344,186011.953,125981.07,91144.516,53926.359,124761.813,223572.891,322525.375,737505.563,1164686.25,1644820.625,2052879.5,2230088.25,2218371.0,2067894.75,1749937.5,1426478.25,1155780.75,905054.938,781333.75,559805.063,409040.438,247635.469,184690.406,0.0,7944.356,17602.895,21803.732,21485.738,28836.777,45689.59,49956.695,61992.762,51095.914,50590.215,43517.188,31370.965,24552.299,21280.201,9801.014,9394.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24763.613,72586.172,113047.719,127240.164,141851.969,149723.172,184338.094,180652.625,167202.266,139476.094,111844.203,97013.914,62136.07,46014.57,26796.541,21840.742,13415.581,11589.546,9854.797,0.0,0.0,77.85038825,15.752,257.225,0.05
HK1010,0,454860.031,852302.875,656342.563,948274.438,593478.938,584328.516,372434.109,320631.196,93283.594,56573.555,49719.355,25767.996,23394.369,16854.729,15437.438,12448.226,11298.058,0.0,0.0,0.0,0.0,15921.71,35744.824,38488.512,49250.75,58908.652,50004.98,25666.1,29405.111,17246.086,10831.939,7566.331,86144.461,129711.773,157158.047,269243.375,351337.094,448394.563,425279.438,431157.969,397643.375,339247.0,266780.875,197674.016,156515.297,118975.758,91810.945,64835.961,54203.191,32191.158,25929.252,0.0,2763.628,9236.754,9816.987,13978.624,15811.724,23866.332,29735.158,34591.105,28891.484,29629.082,24223.857,16470.494,13534.824,8406.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15241.586,38624.977,54320.371,62000.551,82435.297,89482.18,113544.883,104178.109,104284.859,88467.055,70525.563,53354.238,33816.727,22535.314,14609.899,8133.438,0.0,0.0,0.0,0.0,0.0,22.78179368,16.366,41.397,0.123
HK1011,1,809413.188,1071109.875,967411.25,874898.563,473269.75,246232.705,132614.943,69986.362,27789.291,30876.432,20748.141,14993.004,12552.037,8299.286,9728.264,11869.975,11893.067,12579.352,13406.629,9413.47,8354.994,0.0,0.0,42737.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7069.211,10454.653,9598.552,17883.35,28496.307,30833.787,34608.527,28447.922,27409.15,17270.865,13893.097,10856.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7370.651,15776.005,18611.055,29273.664,27436.268,33297.172,40063.336,42057.813,38680.09,33986.711,29567.879,22409.057,16177.348,10881.743,7264.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32780.48,74033.906,96389.805,109097.984,116628.703,134350.203,130051.25,135396.594,125464.57,101856.977,88169.266,61824.598,45286.129,33665.809,17388.174,12214.004,7162.857,0.0,0.0,0.0,0.0,153.0291879,60.272,6602.559,0.0
HK1012,0,1144520.875,1719884.5,1521280.125,1503132.625,1010104.438,692299.953,476692.336,319103.773,96484.836,97276.375,90395.531,100553.156,134210.594,174394.547,290892.688,423526.469,647642.813,742660.75,674277.063,699951.438,571427.125,11757.464,16602.873,20841.314,27226.082,26968.061,28529.527,24637.984,19988.586,12725.163,7297.536,0.0,84603.617,102064.391,117174.383,163723.094,209335.469,145618.766,250587.094,167642.578,211862.484,123443.852,151032.563,79967.625,95692.82,58507.473,55065.516,40998.91,33819.52,21581.943,15335.191,0.0,4409.201,12589.382,18879.586,21906.654,28248.539,32326.428,35151.773,43802.102,44568.242,46272.859,39359.074,33157.809,28314.506,19012.441,13018.589,8927.003,7398.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12551.356,36694.617,52679.129,66845.594,81132.281,91889.219,94145.203,105437.484,98633.789,91687.609,82388.672,72853.648,52179.008,44470.91,28468.885,20721.361,18277.652,12987.09,10347.579,0.0,0.0,48.15541232,0.0,70.0,0.172
HK1014,0,7500075.0,10286891.0,8761979.0,10052898.0,7919638.0,6204977.625,4453496.063,3293968.438,920289.625,860143.688,951896.813,922537.75,1138371.0,1523714.25,1961334.5,2849879.75,4273449.5,5075980.5,5721675.0,4473413.0,4329139.0,769677.938,1177798.125,1430447.375,1591405.5,1567020.125,1167576.125,735715.875,605179.125,282408.219,155810.969,104391.328,1662295.0,3277908.75,4303365.0,9284678.0,12984106.0,16208985.0,15944921.0,16471504.0,14597209.0,9731784.0,7180771.5,4358449.5,2820078.5,1861228.25,1126993.0,691227.438,388709.031,199860.516,104889.797,0.0,5919.275,18515.672,22501.131,26643.629,31911.34,36078.539,41203.52,39913.137,38275.137,36241.844,30170.791,22606.307,18319.666,12067.979,7662.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13534.591,46782.027,65958.648,65168.965,80737.883,83690.203,86288.758,93593.0,84606.82,78758.102,64631.363,56761.059,39086.469,25363.73,16116.016,12246.778,8654.354,0.0,0.0,0.0,0.0,130.149155,4.809,763.165,0.0
HK1015,0,4032236.0,5667556.0,5058516.0,5240135.5,3575517.75,2318972.188,1570463.25,984717.063,258750.859,202078.234,141836.422,112316.359,98389.156,103385.031,127113.047,149233.797,234176.828,217271.828,342016.906,298285.938,341394.313,162657.344,236029.688,272084.531,275746.75,189933.547,151731.953,136094.609,114029.586,64224.348,17263.283,25995.4,1125979.125,2090877.0,2771892.75,5709659.5,7589442.5,10295313.0,9845151.0,9142340.0,7443287.0,4946905.5,3526168.0,2027574.625,1368991.75,812390.125,577154.563,321476.313,196327.063,110173.742,67483.469,0.0,0.0,10459.82,16536.955,21025.766,23593.703,25847.506,38645.254,45027.953,41327.902,46943.66,40048.434,36451.406,26272.934,23706.506,13799.954,11636.539,7246.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14073.697,39440.754,71915.578,68366.977,77127.438,92792.414,96944.984,102746.813,104655.781,94802.875,82231.32,70576.375,57217.621,46502.41,28405.023,20884.49,14635.84,14433.263,8387.53,8311.366,0.0,41.4,13.7,106.338,0.106
HK1016,0,2962210.75,4774547.5,3749785.25,4084752.0,4026906.75,2755890.844,2474300.594,2177574.063,747438.438,646176.688,524549.25,368881.375,255324.188,158730.328,105530.547,56208.035,42949.988,21306.107,14992.189,0.0,0.0,137522.859,314345.094,398200.438,523889.969,565853.25,638099.188,467447.125,503473.781,256690.0,166791.75,136442.516,90957.492,179043.234,334029.875,747729.875,1234604.5,2041584.75,2598875.0,3331752.25,3447404.75,3246952.75,2827203.0,2211214.75,1815817.375,1473673.625,1196751.625,830821.313,552402.438,349003.656,210677.75,0.0,16408.504,37327.637,53527.773,78026.055,93031.5,123808.859,142043.281,168818.281,173899.859,184910.438,154827.078,146143.703,131408.563,106105.266,92957.5,73176.883,59290.254,46901.227,39014.875,27323.619,21705.467,16025.646,10935.004,6770.459,8750.402,4339.506,29074.941,78853.93,130437.641,158145.109,176617.797,241605.5,246370.031,271633.844,285068.344,273887.906,273244.938,232448.125,208786.938,188234.703,132888.375,112427.555,93986.219,82284.109,70236.391,51527.355,41712.301,55.6,40.121,99.658,0.173
