"feature","Region","Group_label","n","mean","median","sd","min","max"
"Sac_S","AUS","Group 0",68,17.9490735294118,1.979,50.8267418896187,0,297.667
"Sac_S","AUS","Group 1",11,4.48036363636364,1.306,6.27056015476651,0,19.565
"Sac_S","HK","Group 0",64,25.12009375,3.086,62.5637104717349,0,345.18
"Sac_S","HK","Group 1",13,59.6733846153846,22.684,75.1977461525482,0,248.614
"Sac_S","KM","Group 0",35,31.7615952371429,8.3465,61.0581147929461,0,261.18
"Sac_S","KM","Group 1",15,90.0081222153333,83.67,58.7742773808763,9.166,223.097
"Suc_S","AUS","Group 0",68,389.469735294118,0,1135.39166940059,0,4883.276
"Suc_S","AUS","Group 1",11,118.283090909091,21.771,202.155581923159,0,678.003
"Suc_S","HK","Group 0",64,647.15496875,136.4635,1304.83801797098,0,6747.074
"Suc_S","HK","Group 1",13,1549.00730769231,638.15,2083.14256272702,53.653,6602.559
"Suc_S","KM","Group 0",35,213.480529524,142.436,256.181002196488,0,1172.4256
"Suc_S","KM","Group 1",15,770.139286666667,540.749,794.864539054597,151.1708,2841.0236
"cdai","AUS","Group 0",68,53.3968947648676,45.937451435,38.7828036847238,0,130
"cdai","AUS","Group 1",11,195.928431763636,209,31.488956892052,156,233
"cdai","HK","Group 0",64,69.24884848125,67.222184705,37.1477471145397,0,145.3605975
"cdai","HK","Group 1",13,201.530242238462,203.4010374,43.2268857694599,151.8735043,289.4176455
"cdai","KM","Group 0",35,85.9307449337143,95.88623589,41.3035481901792,0,141.8862359
"cdai","KM","Group 1",15,240.323751053333,213.3588187,65.7269084001697,162.3381601,369.8397308
