,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE25,0.9006210664010914,2.0,0.2710059171597633,2.5,0.0,11.0,0.0355985956101424,2.0,0.020288483881465424,37.0,8.6
POE22,0.8419696370323485,4.0,0.25917159763313613,4.0,0.12130602166149065,6.0,0.0256681330636984,3.0,0.013264906252295594,49.0,10.266666666666667
POE28.C16,0.5867126353511537,14.0,0.19526627218934922,14.0,0.0,11.0,0.023874524927416926,6.0,0.08330380679106386,2.0,10.733333333333333
POE21,0.9680365335595813,1.0,0.28520710059171595,1.0,0.14438859721083686,5.0,0.014515084737338112,23.0,0.007638049923026413,58.0,12.333333333333334
POE26,0.6346662463539856,12.0,0.21183431952662723,11.0,0.0,11.0,0.0391302865059044,1.0,0.027951856856925472,29.0,12.333333333333334
POE17,0.5849144653376233,15.0,0.19999999999999996,13.0,0.0,11.0,0.013069718682870464,31.0,0.06804769466866789,6.0,14.6
POE20,0.8982570244100951,3.0,0.2710059171597633,2.5,0.0,11.0,0.007145794489536542,60.0,0.011630320377492565,52.0,18.6
POE24,0.7348015976635167,8.0,0.23550295857988168,7.0,0.0,11.0,0.012154539216021637,34.0,0.006243071957197754,61.0,18.866666666666667
POE11,0.4079928954795221,26.0,0.15266272189349117,24.0,0.0,11.0,0.015434935616965196,18.0,0.05979142191214559,9.0,19.133333333333333
POE27,0.7251639452952846,9.0,0.22603550295857988,9.0,0.0,11.0,0.013273556522315082,28.0,0.006038357952674378,63.0,19.133333333333333
POE23,0.7556430710738118,7.0,0.24023668639053253,6.0,0.0,11.0,0.014516462925636773,22.0,0.0,83.0,19.666666666666668
POE13,0.4933314301462199,18.0,0.1763313609467455,17.0,0.0,11.0,0.020242264162135364,11.0,0.010031251935550545,54.0,20.2
POE14,0.3755774735790743,36.0,0.14319526627218937,29.0,0.0,11.0,0.021964216618454366,10.0,0.07947005444247401,3.0,21.266666666666666
POE19,0.7658691634389756,6.0,0.242603550295858,5.0,0.0,11.0,0.010649972628564272,43.0,0.0,83.0,21.933333333333334
POE29.C18,0.3900110833614476,29.0,0.14556213017751474,27.0,0.0,11.0,0.013773793849803396,26.0,0.053588704302347745,13.0,22.333333333333332
POE18.SORBITAN,0.4163174587461767,25.0,0.15502958579881665,22.0,0.0,11.0,0.015881414800253797,16.0,0.01615653090901481,44.0,22.733333333333334
POE31.C18,0.709023205920509,11.0,0.19053254437869827,15.0,0.0,11.0,0.005673807810611419,71.0,0.022639639045171522,33.0,23.0
POE29.C16,0.781453954733849,5.0,0.22130177514792893,10.0,0.0,11.0,0.003110440876457777,79.0,0.013996959478964843,47.0,23.0
POE15.C16,0.6036846125572604,13.0,0.20236686390532554,12.0,0.46979370805956266,1.0,0.0011997991342853741,88.0,0.02070810806707435,35.0,23.266666666666666
POE15,0.3755774735790743,36.0,0.14319526627218937,29.0,0.0,11.0,0.02251161757967607,9.0,0.033364552682544124,26.0,24.2
POE18,0.7135002006580758,10.0,0.23076923076923073,8.0,0.0,11.0,0.0061845951145422145,68.0,0.006140898657719829,62.0,24.333333333333332
POE19.SORBITAN,0.36768462464628526,39.0,0.140828402366864,31.5,0.0,11.0,0.023714779860195916,7.0,0.038979997363211005,19.0,24.466666666666665
POE30.C18,0.5178392538287744,17.0,0.17514792899408294,18.0,0.0,11.0,0.01771624279670186,15.0,0.0,83.0,24.6
POE16,0.4757681200288066,19.0,0.17159763313609466,19.0,0.0,11.0,0.0023252379276173848,82.0,0.04116342592259392,18.0,25.666666666666668
POE27.C16,0.533602466626662,16.0,0.1857988165680473,16.0,0.0,11.0,0.013151412417109648,30.0,0.0,83.0,25.8
POE12,0.44138695540262163,21.0,0.16213017751479286,20.0,0.0,11.0,0.005336208110320743,73.0,0.024452316315236144,31.0,27.0
POE14.C16,0.4247622745359013,24.0,0.15739644970414202,21.0,0.0,11.0,0.005627106749709998,72.0,0.03433756639774277,25.0,27.133333333333333
POE30,0.4316623245277422,22.0,0.15384615384615385,23.0,0.0,11.0,0.015416036531618741,19.0,0.0,83.0,27.8
POE19.C16,0.3287804108645868,47.0,0.12899408284023672,39.5,0.0,11.0,0.019824472642219197,12.0,0.04646950479000944,15.0,28.866666666666667
POE28.C18,0.30314014032832926,49.0,0.12071005917159772,43.0,0.0,11.0,0.01905022750385325,13.0,0.06524923815526518,7.0,29.4
POE20.C16,0.284122489700961,53.0,0.11479289940828408,47.0,0.0,11.0,0.025176597033232596,4.0,0.06417034293668333,8.0,30.466666666666665
POE35.SORBITAN,0.34681608028002425,41.0,0.13372781065088768,33.0,0.0,11.0,0.006476436251124764,65.0,0.07794491253853342,5.0,31.266666666666666
POE16.C16,0.36847332692184004,38.0,0.140828402366864,31.5,0.0,11.0,0.011421422133337614,39.0,0.01548780056219079,46.0,32.06666666666667
