,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
Suc_S,1.8673793540483379,1.0,0.4375,1.0,0.7071850233724191,3.0,0.04241013531336556,2.0,0.02357866988548496,27.0,5.0
Sac_S,1.0442639520833528,2.0,0.29927884615384615,2.0,0.0,20.0,0.04378276294878524,1.0,0.03266780994866725,20.0,7.866666666666666
POE25,0.8445417921650618,4.0,0.2596153846153846,4.5,0.9074881612174992,1.0,0.025557871060230667,7.0,0.008941392346909938,46.0,9.533333333333333
POE21,0.9345053250879535,3.0,0.27884615384615385,3.0,0.0,20.0,0.017422748876213336,18.0,0.010609192200135453,45.0,14.0
POE20,0.8422591553607884,5.0,0.2596153846153846,4.5,0.0,20.0,0.0172216034869452,20.0,0.010688461504218427,44.0,15.066666666666666
POE29.C16,0.8118390957585497,6.0,0.22836538461538458,9.0,0.0736896686181824,17.0,0.011252436799685135,36.0,0.023887483939455834,26.0,15.666666666666666
POE17,0.5439917328906869,17.0,0.18990384615384615,17.0,0.0,20.0,0.015251255413975914,23.0,0.10302456118732639,1.0,16.266666666666666
POE31.C18,0.7316568736480978,8.0,0.19591346153846145,15.0,0.0,20.0,0.007222111453316568,52.0,0.07907578320255437,4.0,17.6
POE22,0.7868488754814268,7.0,0.24759615384615385,6.0,0.0,20.0,0.02639473552050785,6.0,0.0,80.5,19.0
POE16,0.4281753530832502,25.0,0.15865384615384615,23.0,0.0,20.0,0.019961878767667047,12.0,0.04909931267539025,12.0,20.0
POE18,0.6606313017260218,13.0,0.21875,12.0,0.0,20.0,0.011235040656573785,37.0,0.011887782959873139,41.0,21.066666666666666
POE24,0.68151835344317,12.0,0.2235576923076923,10.5,0.0,20.0,0.03829495181201771,3.0,0.0,80.5,21.133333333333333
POE26,0.6026788607950341,15.0,0.20432692307692313,14.0,0.42241061351211534,7.0,0.0060528073862238,61.0,0.022677546949352756,30.0,21.266666666666666
POE12,0.39470366395481143,27.0,0.14903846153846156,24.0,0.0,20.0,0.026927014894504116,4.0,0.01518419565049789,37.0,23.066666666666666
POE29.C18,0.37667435630280627,32.0,0.14182692307692313,29.5,0.0,20.0,0.021606662812397457,10.0,0.04468375737299257,15.0,23.733333333333334
POE14.C16,0.4369106388757633,23.0,0.1610576923076923,21.0,0.0,20.0,0.020963979679287054,11.0,0.005802095358489412,49.0,23.733333333333334
POE13,0.445290151271513,21.0,0.16346153846153844,20.0,0.0,20.0,0.015412417860015576,22.0,0.0022877023829430687,55.0,25.2
POE19,0.7120385745544675,11.0,0.23076923076923073,8.0,0.0,20.0,0.00858459089376792,46.0,0.0,80.5,25.933333333333334
POE23,0.7228938853640868,9.0,0.23317307692307687,7.0,0.0,20.0,0.007155840160271406,53.0,0.0,80.5,26.066666666666666
POE27,0.713829857998013,10.0,0.2235576923076923,10.5,0.11067709965218438,13.0,0.0060699445373030144,60.0,0.0,80.5,26.8
POE11,0.36223501665854835,39.0,0.13942307692307687,31.5,0.0,20.0,0.018094889915028067,15.0,0.04011773779538852,17.0,27.066666666666666
POE15.C16,0.6208270968396004,14.0,0.20673076923076916,13.0,0.10789767408176823,14.0,0.0021998246900938457,82.0,0.004664548665040735,50.0,27.6
POE19.C16,0.3385473862002583,45.0,0.13221153846153855,39.0,0.0,20.0,0.026451070389608124,5.0,0.05835887532958939,8.0,28.133333333333333
POE18.SORBITAN,0.4282485020703942,24.0,0.15865384615384626,22.0,0.0,20.0,0.006787616754656126,55.0,0.01631735037372639,34.0,28.133333333333333
POE16.C16,0.3792553228627639,31.0,0.14423076923076916,28.0,0.0,20.0,0.011694532031142265,34.0,0.019344724373714817,31.0,28.4
POE35.SORBITAN,0.36519436521879156,38.0,0.13942307692307687,31.5,0.2844211321398526,9.0,0.012527405374452663,31.0,0.01928714187736591,32.0,28.733333333333334
POE30.C18,0.5241657070725045,19.0,0.1766826923076923,19.0,0.12865010304766333,12.0,0.007229755329331989,51.0,0.0,80.5,30.066666666666666
POE14,0.33076011875894196,47.5,0.1298076923076923,40.5,0.0,20.0,0.01420142562348606,27.0,0.08035866019425697,3.0,31.466666666666665
POE15,0.33076011875894196,47.5,0.1298076923076923,40.5,0.0,20.0,0.015172411192989631,24.0,0.043768398047565826,16.0,32.8
POE28.C18,0.32766619028662297,49.0,0.12860576923076916,42.0,0.0,20.0,0.014571815587113289,25.0,0.056635134165608836,10.0,32.93333333333333
POE30,0.40359388473195,26.0,0.14663461538461542,26.0,0.0,20.0,0.011811695712308324,33.0,0.0,80.5,33.0
POE21.SORBITAN,0.3463739430426265,43.5,0.13461538461538458,36.5,0.7201898769439793,2.0,0.0049834816906922765,66.0,0.02398904679456826,25.0,33.86666666666667
POE19.SORBITAN,0.3703205980996433,33.0,0.14182692307692313,29.5,0.0,20.0,0.003345739115972931,79.0,0.025954305667772237,23.0,34.266666666666666
