,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
Asp_S,2.893753539538628,1.0,0.5661057692307692,1.0,0.9798303373786492,1.0,0.07162572105504893,1.0,0.0696378766811716,5.0,1.5333333333333334
Sac_S,1.0442639520833528,3.0,0.29927884615384615,3.0,0.0,17.0,0.031314978229089484,5.0,0.021493906395775975,32.0,9.933333333333334
Suc_S,1.8673793540483379,2.0,0.4375,2.0,0.45180738952937605,5.0,0.04443408753071729,3.0,0.0,78.0,12.866666666666667
POE25,0.8445417921650618,5.0,0.2596153846153846,5.5,0.6265492364032577,2.0,0.04861646373274185,2.0,0.0,78.0,13.866666666666667
POE21,0.9345053250879535,4.0,0.27884615384615385,4.0,0.0,17.0,0.013672626282891955,18.0,0.011636317727008016,46.0,14.066666666666666
POE24,0.68151835344317,13.0,0.2235576923076923,11.5,0.07388684862297237,14.0,0.015474136899011724,13.0,0.011669032851282735,45.0,17.066666666666666
POE13,0.445290151271513,22.0,0.16346153846153844,21.0,0.0,17.0,0.021687712238430374,9.0,0.025554619187409422,26.0,19.533333333333335
POE29.C18,0.37667435630280627,33.0,0.14182692307692313,30.5,0.41361675323968655,6.0,0.03784919003203725,4.0,0.05539860643370642,10.0,20.0
POE17,0.5439917328906869,18.0,0.18990384615384615,18.0,0.0,17.0,0.007390102748708097,53.0,0.0764480799834677,3.0,20.466666666666665
POE22,0.7868488754814268,8.0,0.24759615384615385,7.0,0.22318484726849386,9.0,0.010120213536604082,34.0,0.0,78.0,20.733333333333334
POE29.C16,0.8118390957585497,7.0,0.22836538461538458,10.0,0.0,17.0,0.00714579407859935,54.0,0.008290509027004456,47.0,21.4
POE26,0.6026788607950341,16.0,0.20432692307692313,15.0,0.49978634458358995,4.0,0.008337134677599424,49.0,0.005529173188798087,49.0,22.133333333333333
POE20,0.8422591553607884,6.0,0.2596153846153846,5.5,0.0,17.0,0.009407276355140689,40.0,0.0,78.0,22.2
POE23,0.7228938853640868,10.0,0.23317307692307687,8.0,0.008398975510128097,16.0,0.010953186541397602,30.0,0.0,78.0,22.4
POE27,0.713829857998013,11.0,0.2235576923076923,11.5,0.0,17.0,0.011720776731688236,25.0,0.0,78.0,23.133333333333333
POE18,0.6606313017260218,14.0,0.21875,13.0,0.0,17.0,0.007101115106254683,55.0,0.007053608537213707,48.0,24.333333333333332
POE15.C16,0.6208270968396004,15.0,0.20673076923076916,14.0,0.3725402060065411,7.0,0.0053095189335294335,73.0,0.014965200394263967,42.0,24.466666666666665
POE27.C16,0.529998749397097,19.0,0.18509615384615374,19.0,0.0,17.0,0.004192638125849021,76.0,0.05464364423984791,12.0,25.266666666666666
POE30.C18,0.5241657070725045,20.0,0.1766826923076923,20.0,0.16739469144796443,12.0,0.005419221975949804,72.0,0.024777662955135504,28.0,26.4
POE16,0.4281753530832502,26.0,0.15865384615384615,24.0,0.0,17.0,0.007750437874345622,51.0,0.03427727349150622,22.0,26.466666666666665
POE28.C16,0.574270475646412,17.0,0.1923076923076923,17.0,0.0,17.0,0.011596069086062512,27.0,0.0,78.0,26.466666666666665
POE31.C18,0.7316568736480978,9.0,0.19591346153846145,16.0,0.0,17.0,0.0,98.5,0.03070144548106213,25.0,26.533333333333335
POE11,0.36223501665854835,40.0,0.13942307692307687,32.5,0.0,17.0,0.014437498144330032,15.0,0.032771009605864876,24.0,27.933333333333334
POE14,0.33076011875894196,48.5,0.1298076923076923,41.5,0.0,17.0,0.021691216447733787,8.0,0.08591049835887699,1.0,28.6
POE12,0.39470366395481143,28.0,0.14903846153846156,25.0,0.0,17.0,0.02764503900588401,6.0,0.0,78.0,28.733333333333334
POE19,0.7120385745544675,12.0,0.23076923076923073,9.0,0.0,17.0,0.0055214193270324416,71.0,0.0,78.0,28.866666666666667
POE16.C16,0.3792553228627639,32.0,0.14423076923076916,29.0,0.0,17.0,0.012402690126247444,21.0,0.0010909388082092075,52.0,29.4
