n_features,CV_AUC,CV_std,Train_AUC,Val_AUC,Sensitivity,Specificity,Threshold,Features
3,0.6465811965811966,0.08069571112425414,0.8100961538461537,0.6389096340552651,0.5384615384615384,0.8446601941747572,0.18454680452913252,"Suc_S, Sac_S, POE25"
4,0.5948717948717949,0.06207035095851388,0.8605769230769231,0.6430171769977596,0.5384615384615384,0.8446601941747572,0.1749288062946935,"Suc_S, Sac_S, POE25, POE21"
5,0.5884615384615384,0.11455542514712143,0.8533653846153846,0.7061239731142643,0.5769230769230769,0.8349514563106796,0.1641869389945799,"Suc_S, Sac_S, POE25, POE21, POE17"
6,0.5888888888888889,0.0813718306694831,0.858173076923077,0.7229275578790142,0.7307692307692307,0.7184466019417476,0.11657740035115478,"Suc_S, Sac_S, POE25, POE21, POE17, POE26"
7,0.5371794871794872,0.10744782994747162,0.8557692307692308,0.7188200149365198,0.7307692307692307,0.7087378640776699,0.1156230481358689,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20"
8,0.5311965811965812,0.12226704097263363,0.8545673076923077,0.721060492905153,0.6923076923076923,0.7281553398058253,0.12179916974710615,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20, POE18"
9,0.5072649572649572,0.13254478635024922,0.8665865384615384,0.7165795369678865,0.6923076923076923,0.7281553398058253,0.12719854907482317,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20, POE18, POE22"
10,0.5102564102564102,0.1230769230769231,0.8653846153846154,0.7147124719940254,0.7307692307692307,0.6699029126213593,0.11377024646710783,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20, POE18, POE22, POE23"
11,0.46794871794871795,0.14550011240113955,0.8653846153846154,0.7206870799103808,0.8076923076923077,0.6213592233009708,0.13953955239335022,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20, POE18, POE22, POE23, POE27"
12,0.4713675213675213,0.12705754194116847,0.8641826923076923,0.7251680358476474,0.8076923076923077,0.5922330097087378,0.13771714540384056,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20, POE18, POE22, POE23, POE27, POE16"
13,0.4435897435897436,0.1431311357636191,0.8798076923076923,0.6896938013442868,0.46153846153846156,0.912621359223301,0.2154657657734072,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20, POE18, POE22, POE23, POE27, POE16, POE29.C16"
14,0.4564102564102564,0.1331359485717658,0.8786057692307693,0.6994025392083645,0.46153846153846156,0.9223300970873787,0.22180968815201121,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20, POE18, POE22, POE23, POE27, POE16, POE29.C16, POE24"
15,0.5333333333333333,0.15333247577154924,0.9038461538461539,0.690067214339059,0.6153846153846154,0.7087378640776699,0.1643912440671751,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20, POE18, POE22, POE23, POE27, POE16, POE29.C16, POE24, POE29.C18"
16,0.5461538461538462,0.15030103476669582,0.90625,0.6755041075429424,0.6538461538461539,0.6990291262135923,0.15659091973696587,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20, POE18, POE22, POE23, POE27, POE16, POE29.C16, POE24, POE29.C18, POE13"
17,0.5252136752136751,0.15402648500544455,0.9050480769230769,0.6740104555638536,0.6538461538461539,0.6796116504854369,0.15614405910562465,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20, POE18, POE22, POE23, POE27, POE16, POE29.C16, POE24, POE29.C18, POE13, POE19"
18,0.52991452991453,0.1226428718500712,0.9122596153846154,0.7023898431665423,0.5769230769230769,0.8252427184466019,0.1785085986979477,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20, POE18, POE22, POE23, POE27, POE16, POE29.C16, POE24, POE29.C18, POE13, POE19, POE31.C18"
19,0.5162393162393162,0.14021783664114834,0.9182692307692308,0.719193427931292,0.5769230769230769,0.8058252427184466,0.17644239696959407,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20, POE18, POE22, POE23, POE27, POE16, POE29.C16, POE24, POE29.C18, POE13, POE19, POE31.C18, POE15.C16"
20,0.5175213675213676,0.11500729696364259,0.921875,0.7229275578790142,0.5769230769230769,0.8349514563106796,0.17467159952805644,"Suc_S, Sac_S, POE25, POE21, POE17, POE26, POE20, POE18, POE22, POE23, POE27, POE16, POE29.C16, POE24, POE29.C18, POE13, POE19, POE31.C18, POE15.C16, POE30.C18"
