,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
Suc_S,1.8673793540483379,1.0,0.4375,1.0,0.707185023372419,3.0,0.044877563336996884,1.0,0.02357866988548496,30.0,5.266666666666667
POE25,0.8445417921650618,4.0,0.2596153846153846,4.5,0.9074881612174982,1.0,0.024535836134484446,7.0,0.008941392346909938,47.0,9.666666666666666
Sac_S,1.0442639520833528,2.0,0.29927884615384615,2.0,0.0,20.0,0.027221407220115398,6.0,0.021845299126156403,34.0,10.4
POE17,0.5439917328906869,17.0,0.18990384615384615,17.0,0.0,20.0,0.0306147077320878,3.0,0.10302456118732639,1.0,13.6
POE26,0.6026788607950341,15.0,0.20432692307692313,14.0,0.4224106135121223,7.0,0.016460949765874675,18.0,0.022677546949352756,32.0,15.8
POE20,0.8422591553607884,5.0,0.2596153846153846,4.5,0.0,20.0,0.012389793113625707,30.0,0.010688461504218427,45.0,16.533333333333335
POE21,0.9345053250879535,3.0,0.27884615384615385,3.0,0.0,20.0,0.010092522231935998,41.0,0.010609192200135453,46.0,17.2
POE29.C16,0.8118390957585497,6.0,0.22836538461538458,9.0,0.07368966861819057,17.0,0.005213916032097368,69.0,0.05004932313002319,10.0,17.933333333333334
POE16,0.4281753530832502,25.0,0.15865384615384615,23.0,0.0,20.0,0.03425683652013638,2.0,0.04909931267539025,11.0,18.533333333333335
POE18,0.6606313017260218,13.0,0.21875,12.0,0.0,20.0,0.014217061226617542,26.0,0.011887782959873139,43.0,19.866666666666667
POE22,0.7868488754814268,7.0,0.24759615384615385,6.0,0.0,20.0,0.017842593636977586,16.0,0.0,79.5,20.2
POE27,0.713829857998013,10.0,0.2235576923076923,10.5,0.11067709965218202,13.0,0.019252150944083016,13.0,0.0,79.5,20.4
POE24,0.68151835344317,12.0,0.2235576923076923,10.5,0.0,20.0,0.028750995631990975,4.0,0.0,79.5,21.133333333333333
POE14.C16,0.4369106388757633,23.0,0.1610576923076923,21.0,0.0,20.0,0.014960324121651469,21.0,0.02744711700351088,23.0,21.6
