,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE14,1.9761643422658872,3.0,0.2633195148165208,2.0,0.4392752986918788,14.0,0.03699287532921091,1.0,0.04781370765961879,6.0,5.066666666666666
POE31.C18,1.9794472295348549,2.0,0.23230462152617837,7.0,0.4890366599103616,13.0,0.01865364540556189,11.0,0.021344833287262333,30.0,10.466666666666667
POE17,1.7240707936461481,6.0,0.24182404421925385,4.0,0.0,41.0,0.02365692161156068,4.0,0.07905288295819801,1.0,11.533333333333333
POE15,2.0211128780200776,1.0,0.26700445263319517,1.0,0.0,41.0,0.01555153541526394,20.0,0.045825734670509766,7.0,12.333333333333334
POE12,1.6348076035988202,9.0,0.23384001228312612,6.0,0.0,41.0,0.01473120701403176,24.0,0.040661659546151085,9.0,16.6
POE35.SORBITAN,1.6449710276795504,8.0,0.23184400429909413,9.0,0.2754204419473084,20.0,0.012585941193087256,32.0,0.010570628818924455,43.0,18.533333333333335
POE13,1.7067215984338138,7.0,0.2402886534623061,5.0,0.0,41.0,0.016683097390614025,16.0,0.009229574147278319,45.0,19.533333333333335
POE16,1.9724415930199957,4.0,0.2630124366651312,3.0,0.0,41.0,0.014065329127936475,27.0,0.005617969495168351,53.0,20.733333333333334
POE30.C18,1.7722045677417937,5.0,0.23199754337478895,8.0,0.49190387613452663,12.0,0.012525740490871963,33.0,0.0,80.5,21.0
POE26.SORBITAN,1.4601266476529067,17.0,0.217564870259481,15.0,0.0,41.0,0.01780638242030072,12.0,0.02347687875783122,25.0,21.666666666666668
POE24.C16,1.2691666486075994,32.0,0.1979118685705512,30.0,0.20100082606443,23.0,0.022174715336337948,6.0,0.049566749946498456,5.0,22.6
POE19,1.5020703833832207,11.0,0.221556886227545,11.0,0.0,41.0,0.014987363650954398,21.0,0.0063945695640499345,52.0,23.8
POE24.SORBITAN,1.4891046858908572,13.0,0.22032857362198688,12.0,0.0,41.0,0.01143781295413329,41.0,0.01871000941479828,33.0,24.733333333333334
POE11,1.381093389650722,25.0,0.20988791647474292,23.5,0.0,41.0,0.018759373833411176,10.0,0.028722448794263222,20.0,25.133333333333333
POE22.SORBITAN,1.5760605186781178,10.0,0.2284661446338092,10.0,0.0,41.0,0.01588877504544796,19.0,0.0,80.5,26.8
POE36.SORBITAN,1.4808624071431047,15.0,0.21418701059419631,16.0,0.5052744357862929,10.0,0.007808343931759867,57.0,0.0,80.5,28.6
POE31.SORBITAN,1.423085293349724,18.0,0.21387993244280668,17.0,0.0,41.0,0.019194366345539556,9.0,0.0,80.5,29.466666666666665
POE18.C16,1.240621220448149,35.0,0.1936127744510978,33.0,0.0,41.0,0.025390034583578313,3.0,0.008898750526844301,47.0,33.0
