n_features,CV_AUC,CV_std,Train_AUC,Val_AUC,Sensitivity,Specificity,Threshold,Features
3,0.6274159663865546,0.09052787675935574,0.635805312452019,0.5408643180406425,0.5932203389830508,0.5340314136125655,0.1826169591025064,"POE14, POE15, POE17"
4,0.6265915457091927,0.09488529527202277,0.6399508674957776,0.6522317863164433,0.8983050847457628,0.4031413612565445,0.14787925464025758,"POE14, POE15, POE17, POE12"
5,0.6301470588235294,0.09760213906933683,0.6405650237985568,0.6502795279084213,0.9322033898305084,0.36649214659685864,0.1323634805707109,"POE14, POE15, POE17, POE12, POE16"
6,0.6295550038197097,0.09847675688631827,0.6413327191770306,0.6532079155204543,0.8983050847457628,0.4083769633507853,0.14885774460851253,"POE14, POE15, POE17, POE12, POE16, POE13"
7,0.6912496816908582,0.0926162234405604,0.692461231383387,0.6503682669269679,0.8305084745762712,0.4816753926701571,0.24830571971417867,"POE14, POE15, POE17, POE12, POE16, POE13, POE31.C18"
8,0.6797109752992105,0.0916908241620244,0.6907723015507446,0.6588872127074274,0.8305084745762712,0.4816753926701571,0.246510522337098,"POE14, POE15, POE17, POE12, POE16, POE13, POE31.C18, POE19"
9,0.7037783295136236,0.09870334970445158,0.7130354675264855,0.36152276155825713,0.9830508474576272,0.05759162303664921,0.10492757360568393,"POE14, POE15, POE17, POE12, POE16, POE13, POE31.C18, POE19, POE11"
10,0.7256907308377897,0.1152251744924027,0.7234761246737293,0.623480344307392,0.7966101694915254,0.518324607329843,0.21642384711314794,"POE14, POE15, POE17, POE12, POE16, POE13, POE31.C18, POE19, POE11, POE18"
11,0.7175356506238859,0.10357865674826851,0.7294641486258253,0.6473511402963883,0.8305084745762712,0.4973821989528796,0.20669974750421036,"POE14, POE15, POE17, POE12, POE16, POE13, POE31.C18, POE19, POE11, POE18, POE35.SORBITAN"
12,0.7150146422205246,0.10931607695955504,0.727621679717488,0.6401632797941255,0.8305084745762712,0.4869109947643979,0.19813516119002378,"POE14, POE15, POE17, POE12, POE16, POE13, POE31.C18, POE19, POE11, POE18, POE35.SORBITAN, POE30.C18"
