,MW_score,MW_rank,Effect,Effect_rank,L1_coef,L1_rank,RF,RF_rank,MI,MI_rank,Avg_rank
POE14,1.9761643422658872,3.0,0.2633195148165208,2.0,0.4356500286303316,13.0,0.026695489533169477,5.0,0.04798919766198395,3.0,5.0
POE15,2.0211128780200776,1.0,0.26700445263319517,1.0,0.0,32.0,0.02633737610047268,6.0,0.043068945004993475,7.0,8.666666666666666
POE17,1.7240707936461481,6.0,0.24182404421925385,4.0,0.0,32.0,0.02172968274032717,11.0,0.07866584539324739,1.0,10.666666666666666
POE12,1.6348076035988202,9.0,0.23384001228312612,6.0,0.0,32.0,0.025481055104831504,7.0,0.04036395293776507,8.0,12.4
POE16,1.9724415930199957,4.0,0.2630124366651312,3.0,0.0,32.0,0.02159927356051747,12.0,0.005241128013619534,45.0,15.866666666666667
POE13,1.7067215984338138,7.0,0.2402886534623061,5.0,0.0,32.0,0.023064120481759966,9.0,0.00928543791673464,38.0,15.866666666666667
POE31.C18,1.9794472295348549,2.0,0.23230462152617837,7.0,0.5018219311569792,10.0,0.021456369742733822,13.0,0.0,77.5,16.466666666666665
POE19,1.5020703833832207,11.0,0.221556886227545,11.0,0.0,32.0,0.01726277608595052,16.0,0.007639892471994036,42.0,20.0
POE11,1.381093389650722,25.0,0.20988791647474292,23.5,0.0,32.0,0.023086477706110498,8.0,0.02861952157329828,11.0,21.866666666666667
POE18,1.3873367203999298,24.0,0.21050207277752198,22.0,0.0,32.0,0.021961848249611778,10.0,0.021725884704331344,17.0,22.266666666666666
POE35.SORBITAN,1.6449710276795504,8.0,0.23184400429909413,9.0,0.22337265743806925,19.0,0.013445544126462153,30.0,0.0,77.5,22.666666666666668
POE30.C18,1.7722045677417937,5.0,0.23199754337478895,8.0,0.6148818623604472,7.0,0.005731335506282908,63.0,0.0,77.5,23.6
POE24.SORBITAN,1.4891046858908572,13.0,0.22032857362198688,12.0,0.0,32.0,0.006882932963665038,58.0,0.017182216018073015,26.0,24.266666666666666
POE26.SORBITAN,1.4601266476529067,17.0,0.217564870259481,15.0,0.0,32.0,0.006923947705647327,57.0,0.024229373342911975,14.0,24.4
POE30.SORBITAN,1.4049158049863086,21.0,0.21219100261016433,20.0,1.0867449123908681,2.0,0.013546108605755428,29.0,0.0,77.5,25.533333333333335
POE36.SORBITAN,1.4808624071431047,15.0,0.21418701059419631,16.0,0.4631344690695662,12.0,0.011325068320257549,38.0,0.0,77.5,26.066666666666666
POE22.SORBITAN,1.5760605186781178,10.0,0.2284661446338092,10.0,0.0,32.0,0.012360723342294292,32.0,0.0,77.5,26.333333333333332
POE20.SORBITAN,1.4870921058430726,14.0,0.22002149547059724,13.0,0.0,32.0,0.014087893092348343,25.0,0.0,77.5,27.266666666666666
POE33.SORBITAN,1.4939892140420974,12.0,0.219560878243513,14.0,0.0,32.0,0.010495220583491144,42.0,0.0,77.5,29.266666666666666
POE27.SORBITAN,1.3178968079179838,28.0,0.20359281437125754,27.0,0.0,32.0,0.01329184246424327,31.0,0.012167270884879677,35.0,29.866666666666667
POE10,1.2059867789647554,38.0,0.19207738369415006,34.0,0.0,32.0,0.017551016605498737,15.0,0.019321570147692757,23.0,30.666666666666668
POE24.C16,1.2691666486075994,32.0,0.1979118685705512,30.0,0.0,32.0,0.011492714553073815,35.0,0.018947734283961015,24.0,30.8
POE20,1.1943326093776585,39.0,0.19084907108859195,35.0,0.0,32.0,0.0344434157760223,1.0,0.01132555050563,37.0,31.2
POE31.SORBITAN,1.423085293349724,18.0,0.21387993244280668,17.0,0.0,32.0,0.010525268063635768,41.0,0.0,77.5,31.533333333333335
POE23.SORBITAN,1.396742277187308,22.0,0.21142330723169045,21.0,0.0,32.0,0.013941162096237697,26.0,0.0,77.5,31.666666666666668
POE18.SORBITAN,1.3947212340035846,23.0,0.20988791647474292,23.5,0.0,32.0,0.01526303366235494,21.0,0.0,77.5,31.933333333333334
POE23,1.1472340306537219,44.0,0.1857822815906649,38.0,0.0,32.0,0.02891018508707616,2.0,0.00785544415829853,41.0,34.0
POE19.C16,1.2668511197847547,33.0,0.19714417319207733,31.0,0.0,32.0,0.009567602059653362,48.0,0.014263064579728812,31.0,34.0
POE21.SORBITAN,1.419033868540701,19.0,0.21357285429141726,18.0,0.03611945812881773,26.0,0.005535017243449901,65.0,0.0,77.5,34.06666666666667
POE34.SORBITAN,1.3505962366271547,26.0,0.20466758790112083,26.0,0.0,32.0,0.008544753280529659,51.0,0.0005843247080248304,55.0,34.4
POE25.C18,1.1063973257689181,48.0,0.18132964839551668,43.0,0.532086367404936,9.0,0.01136139721134273,36.0,0.016602151528530174,28.0,34.6
POE19.SORBITAN,1.2392984265151583,36.0,0.19484108705665593,32.0,0.028969742917851954,29.0,0.009484905296171567,49.0,0.012990446229303343,33.0,34.86666666666667
POE17.C16,1.1132825425703075,46.0,0.18010133578995857,44.0,0.0,32.0,0.015110606891709849,22.0,0.02627636932825772,13.0,35.06666666666667
POE29.SORBITAN,1.4125104284621997,20.0,0.2129586979886382,19.0,0.0,32.0,0.006049955432016784,61.0,0.0,77.5,35.266666666666666
POE22.C16,1.1426962651548884,45.0,0.18470750806080138,40.0,0.0,32.0,0.010414570989530204,43.0,0.047433663734883114,4.0,35.333333333333336
POE25.SORBITAN,1.3163801413842235,29.0,0.20343927529556272,28.0,0.0,32.0,0.010145325957132904,44.0,0.0,77.5,37.8
POE20.C16,1.1695101946523343,40.0,0.18747121142330725,36.0,0.0,32.0,0.017583710765922633,14.0,0.0,77.5,38.86666666666667
POE32.SORBITAN,1.3493452206304675,27.0,0.20635651773376318,25.0,0.0,32.0,0.005299746960131892,67.0,0.0,77.5,39.53333333333333
